# SNe times [s]      initial mass [g]     ejecta mass [g]     ejecta mass (Z) [g]  wind mass [g] 
1.029274e+15         1.726000e+34         1.427635e+34         1.416908e+33         0.000000e+00         
9.843135e+14         1.765421e+34         1.467056e+34         1.416908e+33         0.000000e+00         
6.356794e+14         2.231047e+34         1.932682e+34         1.416908e+33         0.000000e+00         
5.687448e+14         2.368503e+34         2.070138e+34         1.416908e+33         0.000000e+00         
3.732083e+14         3.123279e+34         2.464953e+34         2.399656e+33         3.503781e+33         
3.638103e+14         3.187445e+34         2.515040e+34         2.564643e+33         3.625585e+33         
2.492428e+14         4.429285e+34         3.143175e+34         6.483518e+33         9.420529e+33         
2.263735e+14         4.910227e+34         3.108346e+34         7.730801e+33         1.413449e+34         
2.074250e+14         5.463367e+34         3.021135e+34         9.767780e+33         2.046653e+34         
1.471163e+14         8.931382e+34         2.998483e+34         2.327656e+34         5.471840e+34         
1.271692e+14         1.161395e+35         1.323396e+34         1.310113e+34         9.898640e+34         
