number,time,e_kin,e_int,e_mag,mass,momentum,run_name,SN0,SN1,SN2,SN3,SN4,SN5,SN6,SN7,SN8,SN9,SN10,SNe_so_far,fit,fit_SN_component,fit_decay_component,corrected,ratcheted
0,0.0,0.0,3.951782316991366e+51,0.0,56779052.92769813,0.0,cluster_cooling_mhd_large_200,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
1,0.001,0.0,4.951782316991365e+51,0.0,56779059.58093829,0.0,cluster_cooling_mhd_large_200,False,False,False,False,False,False,False,False,False,False,False,0,-0.0561680367348772,0.0,-0.0561680367348772,0.0561680367348772,0.0
2,0.1270170908175931,1.3221660576303986e+50,4.033908787167934e+51,0.0,56779059.58093828,198.1930463370653,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,256.47201063280465,263.6063112558044,-7.1343006229998025,205.3273469600651,198.1930463370653
3,0.2530341816351862,7.342302150252258e+49,3.992915570841211e+51,0.0,56779059.58093827,204.42897171988918,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,249.3938780465397,263.6063112558044,-14.212433209264729,218.6414049291539,204.42897171988918
4,0.3790512736264049,5.237354662989255e+49,3.9790540547102156e+51,0.0,56779059.58093827,207.22356809903755,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,242.31574539435454,263.6063112558044,-21.2905658614499,228.51413396048744,207.22356809903755
5,0.505068364443998,4.107125903468027e+49,3.9712633197053656e+51,0.0,56779059.58093829,208.2030444918427,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,235.2376128080896,263.6063112558044,-28.368698447714827,236.5717429395575,208.2030444918427
6,0.6310854564352167,3.395142160642619e+49,3.966798221410194e+51,0.0,56779059.58093827,208.23568489451065,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,228.15948015590442,263.6063112558044,-35.446831099899995,243.68251599441066,208.23568489451065
7,0.6330854564352167,3.395142160642619e+49,4.966798221410194e+51,0.0,56779074.65550968,208.23568489451065,cluster_cooling_mhd_large_200,True,False,False,False,False,False,False,False,False,False,False,1,228.04714408243467,263.6063112558044,-35.55916717336975,243.7948520678804,208.23568489451065
8,1.0148989313228363,8.281113764704205e+49,4.082537236773173e+51,0.0,56779074.65550967,395.96602571368453,cluster_cooling_mhd_large_200,True,True,False,False,False,False,False,False,False,False,False,2,470.20774205488016,527.2126225116089,-57.00488045672868,452.97090617041323,395.96602571368453
9,1.396712406210456,6.044119753549746e+49,3.9971470247386775e+51,0.0,56779074.65550969,416.46861839120123,cluster_cooling_mhd_large_200,True,True,False,False,False,False,False,False,False,False,False,2,448.7620287715213,527.2126225116089,-78.45059374008761,494.9192121312889,416.46861839120123
10,1.7785258846539906,4.738583047483949e+49,3.973589584549336e+51,0.0,56779074.65550969,419.0947831450269,cluster_cooling_mhd_large_200,True,True,False,False,False,False,False,False,False,False,False,2,427.31631528843354,527.2126225116089,-99.89630722317531,518.9910903682022,419.0947831450269
11,2.16033935954161,3.958545663736633e+49,3.962766922668462e+51,0.0,56779074.65550969,416.0777294245129,cluster_cooling_mhd_large_200,True,True,False,False,False,False,False,False,False,False,False,2,405.8706020050746,527.2126225116089,-121.34202050653423,537.4197499310471,419.0947831450269
12,2.5421528379851446,3.466010126235621e+49,3.9575047039091784e+51,0.0,56779074.65550969,409.936729277289,cluster_cooling_mhd_large_200,True,True,False,False,False,False,False,False,False,False,False,2,384.42488852198693,527.2126225116089,-142.78773398962193,552.7244632669109,419.0947831450269
