# time = 3.701672e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.6665476505e-31   2.9011690235e-14   0.0000000000e+00   9.9248591688e-02 
  2.6472181582e+18   5.1676637498e+17   3.7202039244e+55   3.6665476505e-31   2.9011690235e-14   1.8485064983e+03   9.9248591688e-02 
  3.5640202835e+18   9.1680212534e+17   1.1192431941e+56   3.6668591529e-31   2.9011515809e-14   4.7014693898e+03   9.9248591688e-02 
  4.5518929559e+18   9.8787267241e+17   2.0543061853e+56   3.6678988161e-31   2.9011098633e-14   9.8648648609e+03   9.9248591688e-02 
  5.0282069326e+18   4.7631397663e+17   1.3744880946e+56   3.6690366596e-31   2.9010806994e-14   1.3950912831e+04   9.9248591688e-02 
  5.4480595373e+18   4.1985260471e+17   1.4484124402e+56   3.6700581955e-31   2.9010599895e-14   1.6812314843e+04   9.9248591688e-02 
  6.1706775075e+18   7.2261797025e+17   3.0685703377e+56   3.6722732696e-31   2.9010364381e-14   2.0440362214e+04   9.9248591688e-02 
  6.8353739757e+18   6.6469646818e+17   3.5354290617e+56   3.6759672247e-31   2.9010143817e-14   2.4467474643e+04   9.9248591688e-02 
  7.7222964164e+18   8.8692244072e+17   5.9122976463e+56   3.6807691144e-31   2.9009796303e-14   2.9203645138e+04   9.9248591688e-02 
  8.5890696665e+18   8.6677325012e+17   7.2517802231e+56   3.6875651710e-31   2.9009198149e-14   3.4806424012e+04   9.9248591688e-02 
  9.6694989690e+18   1.0804293025e+18   1.1328862041e+57   3.6963298584e-31   2.9008740450e-14   4.0782047904e+04   9.9248591688e-02 
  1.0793054984e+19   1.1235560145e+18   1.4794507276e+57   3.7076486657e-31   2.9007888105e-14   4.9218132148e+04   9.9248591688e-02 
  1.2118323545e+19   1.3252685619e+18   2.1879646438e+57   3.7217201164e-31   2.9006930301e-14   5.9277973631e+04   9.9248591688e-02 
  1.3543202199e+19   1.4248786533e+18   2.9507933786e+57   3.7395011061e-31   2.9005820862e-14   7.2072877691e+04   9.9248591688e-02 
  1.5171755801e+19   1.6285536021e+18   4.2231226252e+57   3.7612780300e-31   2.9004634929e-14   8.7360628022e+04   9.9248591688e-02 
  1.7006733507e+19   1.8349777064e+18   5.9756130342e+57   3.7888087882e-31   2.9003409975e-14   1.0580919712e+05   9.9248591688e-02 
  1.9054154103e+19   2.0474205958e+18   8.3732908833e+57   3.8214246161e-31   2.9002279792e-14   1.2749830422e+05   9.9248591688e-02 
  2.1363640400e+19   2.3094862965e+18   1.1865413784e+58   3.8622414262e-31   2.9001377543e-14   1.5240411541e+05   9.9248591688e-02 
  2.3870867701e+19   2.5072273010e+18   1.6133472081e+58   3.9097213327e-31   2.9000852138e-14   1.8011810675e+05   9.9248591688e-02 
  2.6718701517e+19   2.8478338165e+18   2.2921602661e+58   3.9658675424e-31   2.9000680745e-14   2.0999876657e+05   9.9248591688e-02 
  2.9782552938e+19   3.0638514207e+18   3.0758080158e+58   4.0340245083e-31   2.9000753020e-14   2.4063163208e+05   9.9248591688e-02 
  3.3334548470e+19   3.5519955321e+18   4.4501495598e+58   4.1140806537e-31   2.9000819684e-14   2.7054648393e+05   9.9248591688e-02 
  3.7111005181e+19   3.7764567107e+18   5.8932842382e+58   4.2085047708e-31   2.9000308606e-14   2.9787860380e+05   9.9248591688e-02 
  4.1391339501e+19   4.2803343201e+18   8.2951260279e+58   4.3187934010e-31   2.8999505436e-14   3.2107703364e+05   9.9248591688e-02 
  4.5947404394e+19   4.5560648937e+18   1.0928169378e+59   4.4467714818e-31   2.8998987151e-14   3.4636638062e+05   9.9248591688e-02 
  5.1142036641e+19   5.1946322469e+18   1.5397949549e+59   4.5974525628e-31   2.8998362452e-14   3.7458983509e+05   9.9248591688e-02 
  5.6267213101e+19   5.1251764601e+18   1.8589664173e+59   4.7642155193e-31   2.8998020334e-14   4.0774101205e+05   9.9248591688e-02 
  6.4011104974e+19   7.7438918728e+18   3.5243863350e+59   4.9872224969e-31   2.8998193596e-14   4.5588770244e+05   9.9248591688e-02 
