# time = 5.990884e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   6.3309360140e-31   3.3137880715e-14   0.0000000000e+00   9.9248591688e-02 
  2.3844000708e+18   2.5394828756e+17   1.6279457561e+55   6.3309360140e-31   3.3137880715e-14   6.4426666390e+03   9.9248591688e-02 
  3.1028477955e+18   7.1844772479e+17   6.8348472131e+55   6.3311917049e-31   3.3138028021e-14   1.4363622950e+04   9.9248591688e-02 
  3.9243015164e+18   8.2145372084e+17   1.2801623439e+56   6.3319690711e-31   3.3137420123e-14   2.8491293895e+04   9.9248591688e-02 
  4.2755057774e+18   3.5120426102e+17   7.4230507147e+55   6.3328806815e-31   3.3136822073e-14   3.6073580751e+04   9.9248591688e-02 
  4.5933745646e+18   3.1786878716e+17   7.8581672774e+55   6.3341909261e-31   3.3136579664e-14   4.0272808739e+04   9.9248591688e-02 
  5.2006452086e+18   6.0727064404e+17   1.8323579161e+56   6.3368488297e-31   3.3136003637e-14   4.6722344206e+04   9.9248591688e-02 
  5.7351248660e+18   5.3447965736e+17   2.0096732783e+56   6.3412254812e-31   3.3135292772e-14   5.4281580011e+04   9.9248591688e-02 
  6.4781175132e+18   7.4299264726e+17   3.4860352181e+56   6.3472350599e-31   3.3134498198e-14   6.2308570647e+04   9.9248591688e-02 
  7.1860106202e+18   7.0789310697e+17   4.1559448255e+56   6.3553544677e-31   3.3133749164e-14   7.0892124421e+04   9.9248591688e-02 
  8.0891062063e+18   9.0309558610e+17   6.6276320807e+56   6.3658984197e-31   3.3132954566e-14   7.8278149944e+04   9.9248591688e-02 
  9.0173021302e+18   9.2819592389e+17   8.5414814262e+56   6.3793111019e-31   3.3132124938e-14   8.5231634696e+04   9.9248591688e-02 
  1.0124952101e+19   1.1076499708e+18   1.2765064469e+57   6.3963696209e-31   3.3131286933e-14   9.1288745882e+04   9.9248591688e-02 
  1.1310946215e+19   1.1859941137e+18   1.7137943261e+57   6.4180180725e-31   3.3130698834e-14   9.7986259255e+04   9.9248591688e-02 
  1.2673835817e+19   1.3628896027e+18   2.4657513401e+57   6.4437975993e-31   3.3130041842e-14   1.0305998970e+05   9.9248591688e-02 
